File,Sample,actin,tuba,tubb,efact,pst130_p495001
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0510,2644.5,1054.0,701.74875,107.0,173.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0511,3188.5,1803.0,810.0387499999999,192.0,393.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0515,6315.0,3167.5,1847.001,476.0,613.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0518,6344.0,2240.0,1970.749,457.0,610.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0519,5127.5,2730.5,1269.99875,357.0,561.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0520,7317.0,3172.0,1991.6480000000001,386.5,748.588
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0521,11201.5,4801.5,3115.745,683.837,888.881
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0523,8810.5,3897.5,2062.0,429.5,520.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0525,3625.5,1663.5,1000.50075,223.5,326.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0528,1414.0,701.5,250.5,68.5,155.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0532,2800.5,3156.5,808.24925,176.5,443.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0548,3138.0,1500.5,750.0,128.0,242.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0549,3506.0,2024.0,992.75,223.5,431.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0553,8341.5,4101.0,2526.75,441.0,647.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0557,5077.0,2764.5,1624.251,350.0,664.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_05585,9424.0,4099.0,2564.1904999999997,725.5,369.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0559,5967.0,2421.5,1618.751,362.5,209.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0562,9648.5,3650.5,2692.0,538.849,660.648
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0563,3800.5,1491.0,790.9992500000001,271.5,234.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0564,6818.0,3313.5,2062.247,421.5,501.611
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0565,11597.0,5170.5,2805.75,614.0,423.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0567,6169.5,3219.5,1930.3649999999998,424.5,453.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0569,7124.0,3446.5,2049.75,402.0,668.554
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0570,4756.0,2779.0,1264.2917499999999,266.5,379.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0571,5479.0,2529.5,1430.75,317.5,451.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0593,8077.0,3190.5,2392.25,642.5,745.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0595,7172.5,2232.5,2136.5005,702.0,669.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0600,6380.0,2671.5,1789.08375,409.5,527.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0602,6184.0,2511.5,1801.5,540.0,526.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0611,5521.5,2334.0,1392.75025,226.0,409.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0612,6285.5,2105.0,1338.50075,213.548,193.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0613,6800.0,2089.5,1541.0005,363.0,184.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0614,9081.5,3083.0,2223.0,678.0,419.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,17_0615,8259.0,3696.5,2221.044,575.5,564.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0551,6096.5,1481.5,1182.0,209.0,151.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0554,4590.0,1187.5,543.499,110.5,65.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0555,3877.0,1392.0,670.25,87.5,98.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0772,2985.0,1315.5,952.25075,101.0,453.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0782,2697.0,1310.5,807.25125,87.5,150.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0787,7519.0,3861.5,2820.75,361.0,418.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0788,7431.0,2787.0,2240.3370000000004,325.5,165.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0790,5585.5,2208.5,2307.5005,321.0,165.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0791,7775.5,2910.5,2877.0,361.5,164.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0793,5058.0,2313.5,1465.3407499999998,194.5,112.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0797,2916.0,1323.0,898.50025,104.5,125.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0798,9042.5,3662.0,2654.0,311.5,466.0
merged_Radhakrishnan_exp_PST_104E_count_0.tsv,16_0799,5761.0,2876.0,1440.2505,156.0,266.0
