secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector
Adams et al., in press	15.0224	15_0224	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	Unpublished	Alixan	Infected Leaf	Unknown	Yellow Rust	Allouange	France	20	Unknown	raw_reads/15_0224/R1.fq.gz	raw_reads/15_0224/R2.fq.gz	Celi Baravie
Adams et al., in press	15.0225	15_0225	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Mœuvres	France	20-40	Unknown	raw_reads/15_0225/R1.fq.gz	raw_reads/15_0225/R2.fq.gz	BASF France
Adams et al., in press	15.0226	15_0226	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	La Capelle	France	20-40	Unknown	raw_reads/15_0226/R1.fq.gz	raw_reads/15_0226/R2.fq.gz	BASF France
Adams et al., in press	15.0234	15_0234	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Bothkamp	Germany	15	Unknown	raw_reads/15_0234/R1.fq.gz	raw_reads/15_0234/R2.fq.gz	S. Först
Adams et al., in press	15.0235	15_0235	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	Unpublished	Alixan	Infected Leaf	Unknown	Yellow Rust	Grézillé	France	80	Unknown	raw_reads/15_0235/R1.fq.gz	raw_reads/15_0235/R2.fq.gz	F. Girardeau
Adams et al., in press	15.0236	15_0236	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Golia	Infected Leaf	Unknown	Yellow Rust	Unpublished	Golia	Infected Leaf	Unknown	Yellow Rust	Murath	Turkey	30	Unknown	raw_reads/15_0236/R1.fq.gz	raw_reads/15_0236/R2.fq.gz	Hüseyin Büyük
Adams et al., in press	15.0237	15_0237	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Golia	Infected Leaf	Unknown	Yellow Rust	Unpublished	Golia	Infected Leaf	Unknown	Yellow Rust	Babaeski	Turkey	30	Unknown	raw_reads/15_0237/R1.fq.gz	raw_reads/15_0237/R2.fq.gz	Hüseyin Büyük
Adams et al., in press	15.0239	15_0239	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Écouis	France	40	Unknown	raw_reads/15_0239/R1.fq.gz	raw_reads/15_0239/R2.fq.gz	Thomas Martel
Adams et al., in press	15.0248	15_0248	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Saint-Germain-en-Laye	France	40	Unknown	raw_reads/15_0248/R1.fq.gz	raw_reads/15_0248/R2.fq.gz	Thomas Martel
Adams et al., in press	15.0249	15_0249	2015/05/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Bourgogne	France	10	Unknown	raw_reads/15_0249/R1.fq.gz	raw_reads/15_0249/R2.fq.gz	Alexandra Fricotteau
